id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10795221,Appartamento luminoso e centrale,25315524,Cristina,Isole,San Marco,45.43453459039859,12.336659976755975,Entire home/apt,130,1,0,,,1,0
1308374,FENICEFLAT APARTMENT IN VENICE,6926884,Alessandro,Isole,San Marco,45.43524698804648,12.329835961774037,Entire home/apt,105,2,124,2017-05-07,2.68,1,238
5798848,Rialto Franklin,29918538,Youinvenice,Isole,San Marco,45.43760793874283,12.337104274427881,Entire home/apt,150,3,24,2016-07-26,0.96,11,265
1351007,Nice flat in the heart of Venice,7327268,Roberta,Isole,San Marco,45.43430003655239,12.330593832091182,Entire home/apt,120,3,60,2017-05-06,1.31,1,115
13525352,"""Conca San Luca""  (San Marco/Rialto)",77717973,Valerio,Isole,San Marco,45.43513800111037,12.335985011987978,Entire home/apt,169,1,86,2017-05-04,8.32,1,88
235221,Attic with GrandCanal Views,1229136,Martina,Isole,San Marco,45.43386270051976,12.328651263797163,Entire home/apt,270,3,87,2017-04-17,1.34,6,308
73675,"Casa tipica veneziana ""Le lanterne""",385470,Sabrina E Massimo,Isole,San Marco,45.434572640233576,12.329576786809596,Entire home/apt,120,2,19,2016-09-04,0.27,4,309
493041,APARTMENT FROM 2 TO 4 PERSONS DEC.,2426720,Lorenzo,Isole,San Marco,45.43355837406613,12.334026714363905,Entire home/apt,136,3,18,2017-01-22,0.30,5,325
14027921,Palazzo with Canal View,83953866,Arte,Isole,San Marco,45.435871228483656,12.334235301872084,Private room,85,1,48,2017-04-24,4.97,3,267
14526283,Camera vista canale a San Marco,10592076,Giulia,Isole,San Marco,45.432792977509735,12.333757377815498,Private room,89,1,55,2017-04-23,6.16,8,264
5663077,Cozy bedroom next to Piazza S.Marco,11235412,Alessandra,Isole,San Marco,45.432247843571396,12.33320153427255,Private room,85,2,90,2017-05-08,5.90,1,213
16852483,"At Canal Grande, bedroom in a palazzo near Rialto",12748931,Rolande,Isole,San Marco,45.435140473612734,12.33116154665031,Private room,89,1,19,2017-05-06,7.22,2,302
